n_hidden,activation,reg_lambda,random_seed,f1_mean,f1_std,auc_mean,acc_mean
20,sigmoid,1e-08,9011,0.7618612466768468,0.05464386119843643,0.8317761997586558,0.8049275362318842
20,sigmoid,0.0001,9011,0.7618612466768468,0.05464386119843643,0.8317761997586558,0.8049275362318842
20,sigmoid,0.01,9011,0.7618612466768468,0.05464386119843643,0.8317761997586558,0.8049275362318842
20,tanh,1e-08,9011,0.7057833557042843,0.059483096223071366,0.7632986787957547,0.7523188405797102
20,tanh,0.0001,9011,0.7057833557042843,0.059483096223071366,0.7632986787957547,0.7523188405797102
20,tanh,0.01,9011,0.7074821974031259,0.0591271930538793,0.7634970914941676,0.7523188405797102
20,relu,1e-08,9011,0.7545281711468331,0.06134780390288112,0.8275716296915128,0.7896618357487923
20,relu,0.0001,9011,0.7545281711468331,0.06134780390288112,0.8275716296915128,0.7896618357487923
20,relu,0.01,9011,0.7545281711468331,0.06134780390288112,0.8275716296915128,0.7896618357487923
50,sigmoid,1e-08,9011,0.8910932658301078,0.019095160298774224,0.9454399888610414,0.9102415458937199
50,sigmoid,0.0001,9011,0.8910932658301078,0.019095160298774224,0.9454399888610414,0.9102415458937199
50,sigmoid,0.01,9011,0.889424459668362,0.019430093355608743,0.9452415761626287,0.9080676328502415
50,tanh,1e-08,9011,0.8631773139354767,0.022531197635761717,0.9227536433676784,0.886183574879227
50,tanh,0.0001,9011,0.8631773139354767,0.022531197635761717,0.9227536433676784,0.886183574879227
50,tanh,0.01,9011,0.8599420198178296,0.021858211983621367,0.9225552306692656,0.8818357487922706
50,relu,1e-08,9011,0.8368328540284764,0.04631629618041151,0.9017335004177109,0.8641545893719806
50,relu,0.0001,9011,0.8368328540284764,0.04631629618041151,0.9017335004177109,0.8641545893719806
50,relu,0.01,9011,0.8368328540284764,0.04631629618041151,0.9017335004177109,0.8641545893719806
100,sigmoid,1e-08,9011,0.8594263137553932,0.058396719361610616,0.9192220520436895,0.8841062801932367
100,sigmoid,0.0001,9011,0.8594263137553932,0.058396719361610616,0.9192220520436895,0.8841062801932367
100,sigmoid,0.01,9011,0.8594263137553932,0.058396719361610616,0.9196188774405147,0.8841062801932367
100,tanh,1e-08,9011,0.8283202004254635,0.05640006905799648,0.8936515671895788,0.857487922705314
100,tanh,0.0001,9011,0.8283202004254635,0.05640006905799648,0.8936515671895788,0.857487922705314
100,tanh,0.01,9011,0.8283202004254635,0.05640006905799648,0.8936515671895788,0.857487922705314
100,relu,1e-08,9011,0.8781574848622885,0.03801080883189428,0.936974380395433,0.8973429951690821
100,relu,0.0001,9011,0.8781574848622885,0.03801080883189428,0.936974380395433,0.8973429951690821
100,relu,0.01,9011,0.8781574848622885,0.03801080883189428,0.936974380395433,0.8973429951690821
