Model,F1_Mean,F1_Std,F1_CV,AUC_Mean,AUC_Std,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,Training_Time_Mean,Training_Time_Total,Best_Threshold_Mean
ELM,0.8466963458537112,0.026093608666277083,3.081814253015027,0.919847071382159,0.022469697795713877,0.868840579710145,0.0271772944756032,0.8072466736162388,0.08514575067306965,0.906140350877193,0.0790604561493819,0.019968628883361816,0.19968628883361816,0.6017095811294266
XGBoost,0.934091924401522,0.02432916043396848,2.6045788212499867,0.980588430953928,0.012085903067904325,0.9453623188405798,0.02223424375529304,0.9167752715121138,0.06044489300632367,0.956140350877193,0.033158461993765716,0.11449916362762451,1.1449916362762451,0.3654465675354004
RandomForest,0.9395661258177306,0.025422031240650393,2.7057202832344442,0.9821339614468269,0.011313372595354754,0.9497584541062801,0.021925130219765616,0.9099141793878637,0.04022705328521766,0.9725146198830409,0.027497819755576032,0.36336550712585447,3.633655071258545,0.41322412707906137
GradientBoosting,0.9325940549232363,0.026599437993473758,2.852198966211854,0.9809635972647669,0.011320177521654878,0.9431884057971015,0.025945402312186616,0.9047693096377307,0.061813664165588436,0.9669590643274854,0.036685129239169285,0.5293067216873169,5.293067216873169,0.22831197370416972
LightGBM,0.9322272263520734,0.025482332634805253,2.7334894234446403,0.979988938395371,0.0130486647278558,0.9431400966183576,0.024161400006019563,0.9029167280947468,0.052140467949862004,0.9669590643274854,0.036685129239169285,0.14129219055175782,1.4129219055175781,0.2402244286103945
SVM,0.8982450605749708,0.038468484087182585,4.2826268437879005,0.9570887094278906,0.025351167254087557,0.9146859903381642,0.034563993604630076,0.8683461531065515,0.06135572780497065,0.9347953216374268,0.052388163560764874,0.03541688919067383,0.3541688919067383,0.43475304592220915
LogisticRegression,0.877409683503469,0.03674378897416648,4.1877574028417035,0.9365005878894769,0.03099855963077469,0.9016908212560386,0.03252341684800238,0.8797571859684862,0.05821302847960637,0.8792397660818715,0.05391625753118195,0.016565465927124025,0.16565465927124023,0.4940304693486989
MLPClassifier,0.9020268020268022,0.032795657352235046,3.6357741564380457,0.9530233763420897,0.02745110783627976,0.921304347826087,0.026122225219601437,0.899890602173884,0.0619527415224536,0.9134502923976608,0.07944611788417166,0.1888131618499756,1.8881316184997559,0.4590423536178171
DNN,0.8968295329557885,0.040931054937548644,4.56397268750141,0.9505341285312046,0.028752591856573053,0.9147826086956522,0.03816376199772064,0.8812650073898224,0.06591558642668163,0.9175438596491228,0.05109518399719949,8.428675103187562,84.28675103187561,0.35423123836517334
ResNet,0.8519729994342997,0.049856363312447936,5.851871285305049,0.9255024134410099,0.04225293296415034,0.8797584541062802,0.0391807692013351,0.8348855929931782,0.048136267512396594,0.8751461988304093,0.08492679865578544,10.136407589912414,101.36407589912415,0.24476370215415955
SimpleDNN,0.9012838567524064,0.03709932756841201,4.116275609561223,0.9608740214734366,0.026173179897992657,0.9168599033816426,0.032264926181603974,0.8661660147035029,0.061851578812381736,0.9459064327485379,0.06279746080384366,5.974624657630921,59.746246576309204,0.40907973051071167
