Hidden Units,Activation,Reg Lambda,Accuracy,Precision,Recall,F1 Score,AUC
50,relu,1e-08,0.903864734299517,0.8806766237456773,0.8903508771929826,0.8806625759064783,0.935701909093722
50,relu,0.0001,0.903864734299517,0.8806766237456773,0.8903508771929826,0.8806625759064783,0.935701909093722
50,relu,0.01,0.903864734299517,0.8806766237456773,0.8903508771929826,0.8806625759064783,0.935701909093722
100,sigmoid,1e-08,0.8817874396135265,0.8451988239994701,0.8891812865497076,0.8600255544521243,0.9197213713295584
100,sigmoid,0.0001,0.8817874396135265,0.8451988239994701,0.8891812865497076,0.8600255544521243,0.9197213713295584
100,sigmoid,0.01,0.8817874396135265,0.8451988239994701,0.8891812865497076,0.8600255544521243,0.9209412419938735
100,relu,1e-08,0.8775845410628019,0.8454803129559153,0.867251461988304,0.8488359119301288,0.9232881586682756
100,relu,0.0001,0.8775845410628019,0.8454803129559153,0.867251461988304,0.8488359119301288,0.9232881586682756
100,relu,0.01,0.8775845410628019,0.8454803129559153,0.867251461988304,0.8488359119301288,0.9232881586682756
50,sigmoid,1e-08,0.8641062801932368,0.7989176729703045,0.8839181286549709,0.8374280584133705,0.9180841764906091
50,sigmoid,0.0001,0.8641062801932368,0.7989176729703045,0.8839181286549709,0.8374280584133705,0.9180841764906091
50,sigmoid,0.01,0.8641062801932368,0.7989176729703045,0.8839181286549709,0.8374280584133705,0.9184775209629011
100,tanh,1e-08,0.8643478260869564,0.831134668901192,0.8456140350877194,0.8309472355983983,0.8934009406231629
100,tanh,0.0001,0.8643478260869564,0.831134668901192,0.8456140350877194,0.8309472355983983,0.8934009406231629
100,tanh,0.01,0.8643478260869564,0.831134668901192,0.8456140350877194,0.8309472355983983,0.8931951793062906
30,relu,1e-08,0.8378260869565217,0.77517425646548,0.8573099415204677,0.8082382631966176,0.8806418051301093
30,relu,0.0001,0.8378260869565217,0.77517425646548,0.8573099415204677,0.8082382631966176,0.8806418051301093
30,relu,0.01,0.8378260869565217,0.77517425646548,0.8573099415204677,0.8082382631966176,0.8806418051301093
30,sigmoid,1e-08,0.8490821256038646,0.8381705712588067,0.7865497076023392,0.8042484051036682,0.8760995853832112
30,sigmoid,0.0001,0.8490821256038646,0.8381705712588067,0.7865497076023392,0.8042484051036682,0.8760995853832112
30,sigmoid,0.01,0.8490821256038646,0.8381705712588067,0.7865497076023392,0.8042484051036682,0.8762979980816239
50,tanh,1e-08,0.8115458937198067,0.7531887458087148,0.8073099415204679,0.7746563274614251,0.8426641449302268
50,tanh,0.0001,0.8115458937198067,0.7531887458087148,0.8073099415204679,0.7746563274614251,0.8426641449302268
50,tanh,0.01,0.8115458937198067,0.7531887458087148,0.8073099415204679,0.7746563274614251,0.8426641449302268
30,tanh,1e-08,0.7900966183574878,0.7698770020828845,0.7198830409356726,0.7292518717863212,0.8081271852470684
30,tanh,0.0001,0.7900966183574878,0.7698770020828845,0.7198830409356726,0.7292518717863212,0.8081271852470684
30,tanh,0.01,0.7900966183574878,0.7698770020828845,0.7198830409356726,0.7292518717863212,0.8079287725486555
