n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,Accuracy,Precision,Recall,F1 Score,AUC
50,6,0.1,1.0,0.8,1,0.9583091787439614,0.9560715514275886,0.9400584795321638,0.9474217074217075,0.9798512484915994
100,6,0.1,0.8,1.0,1,0.9561835748792271,0.9424050321883138,0.9505847953216374,0.9455737403105825,0.980241885578143
100,6,0.1,0.8,0.8,1,0.9561835748792271,0.942375792422232,0.9505847953216374,0.9454278454278455,0.9786975153934219
200,6,0.01,1.0,1.0,1,0.9539613526570049,0.9356400135811901,0.956140350877193,0.9437821129748942,0.9760742519879948
100,6,0.1,0.8,1.0,5,0.9540579710144929,0.9267836257309942,0.9616959064327485,0.9434887982256404,0.9809094495498003
200,6,0.1,0.8,0.8,1,0.9539613526570049,0.9384796885261281,0.9505847953216374,0.9431201531201532,0.9770916488752744
200,6,0.1,1.0,0.8,5,0.9539613526570049,0.9388994545186495,0.9502923976608187,0.9431012302064934,0.9792745753272069
200,6,0.1,0.8,1.0,1,0.9540096618357488,0.9370123839009288,0.9502923976608187,0.9430254430254431,0.9796319502459852
100,6,0.1,1.0,0.8,1,0.9540096618357488,0.9374644275573069,0.9505847953216374,0.9429531970995386,0.9798628515733778
50,6,0.1,0.8,1.0,5,0.9540579710144927,0.9364912280701756,0.9508771929824562,0.9429185576553998,0.9804936724527368
200,6,0.1,1.0,0.8,1,0.9540096618357488,0.9463983488132095,0.9397660818713451,0.9425865425865426,0.9780361397320462
50,6,0.1,0.8,0.8,5,0.9540096618357488,0.940842793257654,0.9453216374269007,0.9424595271963693,0.9795012221912807
100,6,0.1,0.8,0.8,5,0.9540096618357488,0.940842793257654,0.9453216374269007,0.9424595271963693,0.9789028899409015
50,6,0.1,1.0,0.8,5,0.9540096618357488,0.9417199862401102,0.9453216374269007,0.9424330301110487,0.9786677341501904
50,6,0.1,0.8,1.0,1,0.9518357487922705,0.9183175407324015,0.9669590643274854,0.9412682501514338,0.9804689192116094
200,6,0.01,0.8,1.0,1,0.9517874396135266,0.9287101890197865,0.956140350877193,0.940821412336175,0.9791322441907238
100,6,0.1,1.0,1.0,5,0.9518357487922705,0.9227275854520437,0.9614035087719298,0.9408128323275949,0.9790498623100963
100,6,0.1,1.0,1.0,1,0.9517874396135266,0.9382831410075992,0.9447368421052632,0.9401893472768652,0.9783966088059657
200,6,0.01,0.8,1.0,5,0.9517874396135266,0.9373757924222321,0.9456140350877194,0.9401647222699856,0.9760028930350568
200,6,0.01,0.8,0.8,1,0.9517391304347826,0.9383532360312546,0.9453216374269007,0.940119380428978,0.9804391379683779
100,6,0.1,1.0,0.8,5,0.9517874396135266,0.9323664553540715,0.9505847953216374,0.9399691000155398,0.9788808440855223
200,6,0.1,1.0,1.0,1,0.9517874396135266,0.9431786518435125,0.9391812865497077,0.9396987726686434,0.9774153748568952
200,6,0.01,1.0,1.0,5,0.9495169082125605,0.9160955991855172,0.967251461988304,0.9395040616093249,0.9756225053374177
